"","species","SGP001","SGP002","SGP003","SGP004","SGP005","SGP006","SGP007","SGP008","SGP009","SGP010","SGP011","SGP012","SGP013","SGP014","SGP015","SGP016","SGP017","SGP018","SGP019","SGP020","SGP021","SGP022","SGP023","SGP024","SGP025","SGP026","SGP027","SGP028","SGP029","SGP030","SGP031","SGP032","SGP033","SGP034","SGP035","SGP036","SGP037","SGP038","SGP039","SGP040","SGP041","SGP042","SGP043","SGP044","SGP045","SGP046","SGP047","SGP048","HKG001","HKG002","HKG003","HKG004","HKG005","HKG006","HKG007","HKG008","HKG009","HKG010","HKG011","HKG012","HKG013","HKG014","HKG015","HKG016","HKG017","HKG018","HKG019","HKG020","HKG021","HKG022","HKG023","HKG024","HKG025","HKG026","HKG027","HKG028","HKG029","HKG030","HKG031","HKG032","HKG033","HKG034","HKG035","HKG036","HKG037","HKG038","HKG039","HKG040","HKG041","HKG042","HKG043","HKG044","HKG045","HKG046","HKG047","HKG048","HKG049","TPE001","TPE002","TPE003","TPE004","TPE005","TPE006","TPE007","TPE008","TPE009","TPE010","TPE011","TPE012","TPE013","TPE014","TPE015","TPE016","TPE017","TPE018","TPE019","TPE020","TPE021","TPE022","TPE023","TPE024","TPE025","TPE026","TPE027","TPE028","TPE029","TPE030","TPE031","TPE032","TPE033","TPE034","TPE035","TPE036","TPE037","TPE038","TPE039","TPE040","TPE041","TPE042","TPE043","TPE044","TPE045","TPE046","TPE047","TPE048","TPE049","TPE050","ICN001","ICN002","ICN003","ICN004","ICN005","ICN006","ICN007","ICN008","ICN009","ICN010","ICN011","ICN012","ICN013","ICN014","ICN015","ICN016","ICN017","ICN018","ICN019","ICN020","ICN021","ICN022","ICN023","ICN024","ICN025","ICN026","ICN027","ICN028","ICN029","ICN030","ICN031","ICN032","ICN033","ICN034","ICN035","ICN036","ICN037","ICN038","ICN039","ICN040","ICN041","ICN042","ICN043","ICN044","ICN045","ICN046","ICN047","ICN048","ICN049","ICN050","NYC001","NYC002","NYC003","NYC004","NYC005","NYC006","NYC007","NYC008","NYC009","NYC010","NYC011","NYC012","NYC013","NYC014","NYC015","NYC016","NYC017","NYC018","NYC019","NYC020","NYC021","NYC022","NYC023","NYC024","NYC025","NYC026","NYC027","NYC028","NYC029","NYC030","NYC031","NYC032","NYC033","NYC034","NYC035","NYC036","NYC037","NYC038","NYC039","NYC040","NYC041","NYC042","NYC043","NYC044","NYC045","NYC046","NYC047","NYC048","NYC049","NYC050","IEV001","IEV002","IEV003","IEV004","IEV005","IEV006","IEV007","IEV008","IEV009","IEV010","IEV011","IEV012","IEV013","IEV014","IEV015","IEV016","IEV017","IEV018","IEV019","IEV020","IEV021","IEV022","IEV023","IEV024","IEV025","IEV026","IEV027","IEV028","IEV029","IEV030","IEV031","IEV032","IEV033","IEV034","IEV035","IEV036","IEV037","IEV038","IEV039","IEV040","IEV041","IEV042","IEV043","IEV044","IEV045","IEV046","IEV047","IEV048","IEV049","ILR001","ILR002","ILR003","ILR004","ILR005","ILR006","ILR007","ILR008","ILR009","ILR010","ILR011","ILR012","ILR013","ILR014","ILR015","ILR016","ILR017","ILR018","ILR019","ILR020","ILR021","ILR022","ILR023","ILR024","ILR025","ILR026","ILR027","ILR028","ILR029","ILR030","ILR031","ILR032","ILR033","ILR034","ILR035","ILR036","ILR037","ILR038","ILR039","ILR040","ILR041","ILR042","ILR043","ILR044","ILR045","ILR046","ILR047","ILR048","TYO002","TYO003","TYO004","TYO005","TYO006","TYO007","TYO008","TYO009","TYO010","TYO011","TYO012","TYO013","TYO014","TYO015","TYO016","TYO017","TYO018","TYO019","TYO020","TYO021","TYO022","TYO023","TYO024","TYO025","TYO026","TYO027","TYO028","TYO029","TYO030","TYO031","TYO032","TYO033","TYO034","TYO035","TYO036","TYO037","TYO038","TYO039","TYO040","TYO041","TYO042","TYO043","TYO044","TYO045","TYO046","TYO047","TYO048","TYO049","TYO050","VIE006","VIE014","VIE015","VIE017","VIE028","VIE031","VIE033","VIE035","VIE037","VIE040","VIE042","VIE043","VIE045","VIE047","VIE048","VIE049"
"1","Acinetobacter johnsonii",311,0,0,303,0,0,1043,1073,2459,597,6433,4593,4988,334,10078,443,0,574,0,145,111,0,0,0,0,0,0,487,247,1584,1081,1374,0,684,228,319,191,1677,2138,3410,7960,1624,2128,0,0,2133,0,2640,616,484,7720,4519,2249,0,3379,0,0,0,437,0,0,0,0,807,0,4236,91,138,0,0,272,0,0,251,0,0,0,7789,0,396,192,0,0,7115,0,287,315,0,1307,0,0,0,0,0,0,0,449,315,652,469,779,363,598,1451,2505,746,881,270,856,672,0,0,1310,4218,858,1440,1711,0,112,0,0,531,323,576,5381,1265,0,448,581,508,0,141,2966,4219,189,344,371,0,1428,3750,358,451,0,152,284,1867,432,327,1023,1217,646,1670,885,729,674,583,6856,4666,1194,16109,31502,3436,2769,0,1806,1685,300,223,25183,178,1440,1389,126,0,33110,450,1601,1284,3373,496,279,1874,0,1556,0,414,1435,0,2716,292,856,188,0,410,443,413,245,1040,696,901,2694,1165,3970,228,2254,4400,1665,577,1211,3171,857,1471,653,614,1700,1943,200,498,1223,594,2737,1908,3440,326,241,576,2180,1156,26998,236,170,328,518,457,2755,796,1301,2880,735,3841,692,272,175,580,1840,2206,1434,1789,0,0,1426,0,0,0,0,276,0,0,0,264,921,0,367,704,0,0,0,0,0,0,0,318,0,0,151,328,0,0,325,473,0,0,284,0,0,106,100,0,0,5002,0,0,0,973,1370,1206,596,0,0,119,8254,0,0,833,394,0,454,0,0,1517,277,1116,2000,641,1447,622,218,254,3112,326,591,213,435,5255,10094,855,388,3317,600,10156,6572,1670,1565,347,1071,330,0,1124,965,0,388,938,464,1022,0,3277,0,3995,0,0,0,0,0,5170,2199,2375,311,0,124,0,1457,0,228,0,171,1551,1812,351,0,707,7193,0,0,2352,258,0,0,1359,5679,335,0,0,394,0,453,5686,0,0,0,0,2190,1220,591,2455,1182,868,5349,4725,1165,1159,338,6962,1775,740,1835,1212,1162,841,1357
"2","Acinetobacter lwoffii",0,673,0,149,0,0,0,1053,1097,834,5233,3110,2704,213,1180,0,0,0,0,0,0,0,265,0,0,0,0,194,0,1172,742,1407,0,233,0,153,295,962,2400,3395,8839,1581,1478,0,0,2158,0,2020,310,244,0,1085,565,597,4482,0,0,0,661,0,0,0,0,241,0,847,55,0,0,0,0,0,155,289,0,0,0,4184,0,0,0,0,0,4256,0,121,0,0,0,0,0,0,0,0,0,0,100,358,253,184,239,197,233,330,495,0,242,0,246,269,0,0,556,1041,300,483,952,0,0,0,359,184,0,166,1140,270,0,630,502,242,0,0,739,1092,0,0,0,0,0,0,140,205,0,0,0,683,254,235,367,454,245,690,908,643,2408,475,2065,0,1525,10235,4120,1583,1495,0,863,1150,231,171,12878,96,564,650,0,223,0,114,494,362,1427,149,276,1091,0,970,0,0,900,2417,772,131,349,86,0,423,414,0,160,497,282,1517,7560,533,1025,364,4643,1045,2733,1340,1599,3684,484,1194,480,2325,2067,2262,123,811,918,753,3070,1518,1978,334,460,855,2158,2406,5603,147,239,1808,608,756,2880,373,874,5347,874,902,685,423,150,1002,2159,2118,1482,383,0,0,0,0,0,0,0,0,0,0,0,114,0,0,91,252,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,2468,0,237,0,579,2528,815,0,0,89,79,13814,463,0,460,627,0,469,0,0,482,0,565,839,403,1070,436,148,119,2728,216,285,93,171,2371,3393,131,390,2231,140,1673,2117,672,629,175,821,108,0,494,354,0,128,443,178,211,0,353,0,978,0,0,0,0,0,1286,7941,3250,319,348,3484,0,1818,0,432,0,129,4704,0,183,0,322,3445,0,0,559,203,0,0,437,2856,0,0,0,0,246,0,2903,0,0,101,0,1242,251,533,2063,803,582,973,4126,727,494,184,5804,1469,986,754,335,389,214,937
"3","Acinetobacter schindleri",140,75,0,153,0,0,0,319,220,208,389,392,0,1125,347,82,72,133,0,159,0,0,0,0,0,0,72,322,87,139,160,237,0,67,153,210,0,149,503,305,703,364,0,0,0,473,0,168,278,36,428,79,769,0,0,0,0,0,0,0,0,0,0,0,0,84,28,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,69,0,71,41,95,150,99,36,0,0,0,50,117,0,0,144,0,69,197,302,0,0,0,51,0,49,123,243,63,0,31,272,170,0,0,118,104,0,0,0,0,62,0,40,61,0,0,0,558,115,0,0,0,39,98,182,0,103,61,67,0,69,0,137,0,67,0,0,0,140,108,0,0,106,96,0,0,0,0,0,105,0,77,0,0,0,123,0,0,0,0,0,0,0,0,0,61,91,0,0,93,70,193,1760,207,115,50,1797,145,536,235,435,516,94,77,27,103,449,499,0,113,161,36,739,378,4700,94,38,57,146,432,63356,32,39,359,127,83,495,718,184,657,112,95,86,49,0,266,413,540,382,0,39,27,98,0,91,0,0,54,0,86,0,632,100,149,342,123,0,0,0,52,0,0,0,112,0,61,97,130,0,143,76,63,62,0,34,49,0,81,81,0,0,0,0,0,0,142,174,177,103,219,475,865,9643,1682,191,753,1000,0,1380,457,586,754,676,689,3346,2799,2398,2059,220,471,34690,663,729,322,335,3520,5847,369,1122,3100,463,12101,1977,1161,4552,224,791,309,64,179,1064,0,257,238,396,167,0,25,0,232,0,0,0,0,0,308,106,207,0,0,52,0,141,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,29,144,0,0,0,0,98,0,0,0,0,0,0,0,0,0,394,28,0,44,644,27,0,0,377,0,0,34,25,0,0,0
"4","Bradyrhizobium diazoefficiens",584,7427,83,1882,54,1558,2451,652,536,1180,1496,93,2325,226,1744,1069,630,167,288,2650,158,2467,4796,212,3987,105,516,121,580,249,61,432,183,1661,599,919,3766,80,352,267,294,159,3160,236,297,356,176,241,109,406,680,502,318,1328,1125,54,572,483,1812,388,454,727,1518,945,520,79,1559,212,2298,3485,726,207,392,435,642,705,1044,191,643,1885,747,933,577,870,409,0,119,226,228,128,95,58,77,45,67,94,189,207,148,202,659,499,144,68,199,238,165,0,175,157,231,213,96,134,196,122,176,94,102,70,123,210,113,203,98,113,85,172,112,63,224,210,736,940,109,173,163,252,82,49,77,133,54,55,116,119,157,475,897,163,946,534,121,882,737,726,707,364,319,771,358,373,320,326,987,614,329,198,1128,473,739,521,241,242,439,799,819,292,1223,659,526,266,134,222,351,271,563,426,569,827,139,397,347,259,439,237,481,1772,731,80,113,148,1329,1241,532,1406,556,37,636,378,168,5444,1745,2646,553,175,722,5346,3345,1441,197,134,228,1417,4087,2152,80,75,156,1014,1033,1076,85,386,83,465,1648,587,1168,1529,2442,947,13320,59,91,319,201,255,240,311,194,91,334,129,78,355,149,359,237,167,478,381,175,59,490,691,45,301,414,93,440,206,0,827,175,234,1930,1371,251,309,1093,364,150,1372,74,145,201,972,238,116,259,250,100,59,116,57,0,58,0,0,106,0,77,94,399,59,121,0,0,193,223,284,76,355,230,799,256,71,158,927,87,165,157,43,597,108,363,419,73,61,159,44,73,726,91,0,92,973,52,164,737,774,1058,108,490,87,67,65,1741,204,82,329,154,85,270,154,239,391,174,190,250,664,436,1509,126,439,513,105,229,672,307,930,0,503,457,53,127,53,328,229,91,497,397,324,94,122,1042,0,546,1448,423,127,38,130,89,100,148,256,425,102,0,112,580,170,230,122,37,75,144
"5","Bradyrhizobium japonicum",484,6679,63,1783,89,1540,2355,542,521,1158,1366,86,2222,200,1530,828,528,241,329,2556,134,2343,4590,263,3892,143,476,185,619,266,69,414,212,1500,627,882,3794,0,295,295,279,147,3008,249,333,300,149,242,102,376,624,368,277,1142,1091,70,500,456,1686,415,407,700,1364,1011,423,95,1411,204,2027,3017,674,211,412,366,667,641,986,128,557,1682,791,873,595,805,388,0,87,239,244,207,94,72,55,50,109,83,173,215,146,246,651,532,103,103,150,228,263,0,148,153,255,230,210,110,262,155,189,87,111,105,111,160,119,286,115,87,0,337,140,156,183,281,646,1042,88,149,203,247,99,64,62,154,0,49,142,134,142,391,938,224,822,429,162,783,709,612,606,299,356,632,306,387,283,318,854,739,323,172,974,461,674,444,207,203,489,766,684,313,1125,574,437,277,177,199,320,203,525,404,733,784,234,404,449,308,372,185,380,1605,623,136,160,151,1167,1204,566,1297,461,79,542,387,197,4992,1655,2442,115,188,596,4598,3291,1322,227,119,204,1362,3811,2116,72,110,232,979,1119,1008,93,469,108,393,1633,222,1097,1561,2366,928,12228,0,79,285,208,241,246,278,168,97,299,130,100,331,136,384,232,209,377,382,219,62,620,670,67,263,344,118,409,263,0,694,170,184,1800,1260,338,364,984,319,115,1418,76,151,165,974,281,107,262,253,117,77,155,108,69,57,0,0,125,0,86,125,478,0,179,0,0,194,239,231,70,365,215,713,237,75,266,802,134,136,139,0,527,149,372,414,98,0,146,88,51,807,0,0,108,838,76,210,765,700,928,85,394,87,72,94,1659,196,56,361,134,115,251,156,200,407,162,218,214,681,385,1280,136,389,496,116,197,639,356,779,0,420,392,78,156,0,365,300,67,463,341,308,147,137,920,0,538,1356,354,103,94,100,105,99,131,208,373,95,0,135,493,194,171,122,63,76,189
"6","Comamonas testosteroni",3547,6242,0,1857,0,1921,1409,2442,1120,1143,2536,831,2256,2247,1345,2352,1836,2182,1514,2086,1605,1503,3733,0,9565,0,0,1981,1447,3764,842,1980,4149,1285,1840,1059,4475,594,670,1050,2842,774,2236,2428,3617,779,0,4648,1325,1475,2605,4127,3046,2676,4050,0,5014,3953,3903,4907,3052,3046,1996,6511,4530,4787,3294,1477,2679,3703,3327,0,0,1682,1889,1887,1955,1398,1833,2795,2645,2618,1560,7244,5804,0,0,0,1237,1515,0,0,0,0,0,0,2282,2095,4104,4937,2315,2991,6628,2150,5400,11945,9354,0,4321,3045,3776,4268,2236,8730,2565,6682,4966,0,7277,2576,2869,2283,3202,2902,2019,1336,1511,819,2191,1710,7295,10120,10496,9223,6044,5183,5637,5357,3379,2198,1504,4455,1972,2250,4500,0,4299,1052,2542,969,1776,3515,4671,1233,2318,2001,2316,1110,2817,6748,4147,1079,2481,2150,2056,1763,2523,3755,13749,2075,3940,1686,1649,604,7046,1504,1777,2887,6354,2418,1212,3190,2359,2819,823,982,1781,8400,9802,2514,3350,3118,4459,3444,4738,647,1220,3484,3046,3149,8051,3235,7118,2668,3127,5840,7819,2733,4579,6385,2076,7156,7488,10100,5097,9975,2122,8747,8101,6181,8795,3932,6284,9135,7671,5657,3869,5532,12342,2170,3604,5553,3329,5470,5990,2474,17214,8784,2967,4070,5262,6787,7076,860,4101,4003,3400,2613,1069,0,0,0,1758,0,0,809,0,1987,0,1229,0,1945,844,482,0,0,0,0,0,0,1496,1781,0,2080,0,765,1773,1191,3530,2270,2229,0,0,823,0,4526,3767,918,4078,3594,3010,2755,1832,623,3438,692,0,0,0,0,0,0,0,2648,4468,0,2948,0,0,3848,3781,1683,1628,12836,8781,3628,2951,0,7459,4033,1988,0,5929,1165,2982,3089,3565,2131,1072,1339,1659,999,689,1116,0,0,4946,2391,1350,0,1616,2960,2064,824,452,784,0,9104,1571,758,0,943,3152,10258,879,1023,869,0,0,0,1571,1144,1179,1583,0,816,1117,0,614,1149,1459,15833,0,1094,757,0,0,0,1190,0,0,1119,1020,1274,0,0,2443,0,1740,2991,729,0,0,0,0,855,1252,1085,978,0,865,2215,1794,7945,1039,7416,0,2764,2509
"7","Corynebacterium jeikeium",284,57,0,221,0,0,0,666,724,336,466,835,82,356,230,0,0,67,0,142,0,0,0,0,0,0,0,93,97,582,900,1539,224,212,413,276,180,718,708,1203,860,995,60,262,93,896,34,472,191,144,148,68,136,57,63,0,101,62,114,82,130,109,0,168,0,74,223,59,0,0,230,808,888,735,196,251,78,0,0,48,2851,1318,854,135,131,274,185,70,129,285,165,127,122,77,61,103,281,113,102,96,144,124,234,231,0,82,0,0,131,214,81,122,729,131,165,79,104,0,92,0,165,0,57,181,438,415,81,58,159,143,104,104,254,222,96,0,59,132,244,64,0,109,0,56,88,151,246,102,0,221,152,202,370,129,166,611,320,47,171,108,85,84,206,0,0,0,0,0,0,0,98,58,292,235,155,253,0,70,0,0,39,112,0,0,0,119,0,0,109,0,0,103,0,91,135,624,0,1637,2772,544,506,1973,15725,4871,7253,957,1743,414,1528,1705,5065,1700,3535,4116,342,548,3987,2472,1032,3139,17196,675,1154,2425,1193,2038,494,823,0,6741,8541,1771,186,3367,906,2368,10303,849,2518,14018,2452,69,207,270,848,8063,34447,195,126,231,346,0,366,0,0,345,0,544,0,758,221,105,462,61,94,0,0,138,0,0,112,299,0,73,284,354,0,63,0,75,0,0,98,0,190,104,97,0,213,222,61,658,1897,485,478,584,0,0,0,0,118,0,114,163,172,0,1702,0,99,1601,224,334,397,537,2360,565,149,1025,106,154,378,424,1012,2055,237,1456,118,218,333,1640,273,233,90,4825,671,3045,55,586,131,0,429,384,353,44,0,1438,72,112,0,88,0,0,0,142,77,114,72,224,1861,165,195,59,385,0,68,54,77,78,153,120,142,0,0,162,314,0,0,118,139,123,0,0,0,321,199,0,118,0,0,0,131,158,143,1128,1021,815,291,861,199,529,107,147,722,530,676,85,1092,104,496
"8","Corynebacterium ureicelerivorans",89,372,0,478,0,52,0,738,614,380,534,2684,58,360,352,0,50,56,0,1364,0,140,72,0,0,0,42,42,33,688,723,747,571,147,293,196,0,2338,238,1265,1640,719,62,2136,136,728,82,632,163,128,230,120,221,100,56,263,154,145,139,34,116,69,135,110,25,31,65,23,0,0,74,935,1456,779,115,160,99,0,0,48,575,316,180,88,32,332,50,34,374,102,61,40,96,0,22,54,378,170,55,56,193,92,285,136,0,42,54,0,53,150,89,79,470,105,87,93,57,57,59,0,176,27,0,317,462,417,30,61,140,68,195,150,258,254,41,30,30,257,256,38,0,47,0,68,74,135,534,110,0,346,251,330,145,83,2779,867,552,88,134,135,35,225,147,0,0,0,0,0,0,53,0,0,64,83,146,2350,160,38,0,0,52,44,0,39,0,138,50,0,31,0,0,423,0,763,81,146,72,1376,2574,311,392,1680,10870,5072,11161,796,1497,246,1332,2141,3264,2249,10952,5171,163,342,1017,2460,848,6153,787,2508,715,2514,2284,3236,427,909,43,24241,45161,2020,111,1998,729,2798,7634,469,2414,10591,1662,30,1128,264,656,489,1552,88,195,190,383,0,70,57,0,419,0,108,0,1950,308,61,1024,66,63,0,28,269,0,0,0,193,0,110,403,465,0,104,0,34,88,0,103,0,32,151,165,0,194,711,38,877,2241,976,476,1044,0,0,0,0,41,0,0,40,68,0,388,0,0,552,176,453,453,517,434,383,63,321,63,87,159,168,565,821,79,544,53,196,264,1421,198,24,42,767,55,403,0,536,30,0,628,221,288,29,0,7012,30,76,0,170,0,0,0,83,308,99,108,560,1407,36,148,193,598,0,53,465,153,45,116,197,233,0,0,132,225,0,0,89,237,200,0,0,0,192,86,67,107,0,0,0,256,155,442,1192,2361,1321,898,2050,365,617,251,198,426,730,927,240,222,36,1210
"9","Cupriavidus metallidurans",116,211,308,5406,193,75,11342,116,0,68,84,0,9211,974,4159,4351,62,322,4069,114,637,8595,204,1839,261,0,0,75,2487,815,143,1598,679,127,76,6398,149,0,945,820,1019,551,10523,1270,1906,1220,0,749,808,2951,7372,4087,1977,10589,8188,707,4776,4214,15189,1640,4415,5110,11209,9427,2690,365,9528,1042,16668,27351,5918,3028,3481,3469,4664,5249,8775,1930,6714,12876,4908,4684,4203,10855,2148,336,1337,787,1949,855,901,284,433,352,723,1115,1676,1609,343,1166,4444,4160,767,474,644,589,710,292,977,1052,1109,681,672,973,1420,771,1194,4748,260,143,603,1487,437,1681,532,553,203,66672,461,434,1231,1345,5442,5966,700,943,1326,665,495,524,290,711,246,304,400,1055,1100,4040,10828,2174,10237,6217,465,8088,9109,7184,8453,3627,3851,13980,3188,4535,3519,4702,10722,6816,3573,2289,24956,6191,8960,6648,3592,3111,12064,8593,9698,3433,15162,7204,6343,4015,393,3566,4061,3830,7058,6966,734,6629,1202,5053,3334,2499,5518,2413,4739,73,56,339,257,1188,126,126,66,101,3700,251,3802,3335,690,362,170,162,591,1099,6759,246,229,124,702,724,1117,9189,235,144,198,390,420,67,180,106,156,5445,276,3574,191,1819,8702,9367,159,158,352,132,230,2318,1483,3574,857,1271,928,634,1347,485,707,1689,797,1220,1210,495,1721,1784,518,157,2065,2882,304,1529,1987,688,3287,1062,136,2699,770,878,5709,4700,1111,1060,3738,1585,402,4496,383,510,526,2973,1306,1289,1226,1436,339,0,69,0,367,1003,394,409,1070,421,1389,955,4998,885,722,377,515,1896,1640,3131,548,2240,1820,9974,1988,881,869,9754,935,1956,1362,280,8604,1650,3551,4823,826,315,1046,132,272,7978,655,242,148,9688,208,3225,6647,9562,12301,378,2874,550,494,197,9810,1067,616,2669,802,202,1862,1165,1796,2840,1308,2107,2083,5181,3380,7939,1458,3829,3452,907,1871,5511,2674,25814,0,4218,3222,707,1344,319,2289,2228,1024,3916,2950,2352,1091,1521,8499,559,3085,12790,3015,1005,367,671,535,676,1275,3161,5164,1159,230,611,8842,1764,2414,1388,383,533,167
"10","Cutibacterium acnes",1230,5656,198,11156,0,757,8161,8296,13138,27211,12915,16401,1633,9012,71131,371,556,2154,690,953,183,9671,5740,347,3705,0,314,449,2376,9519,12287,9102,2499,3087,609,24164,2679,9530,12118,108061,55495,72736,1850,18007,2040,31248,16958,10548,2202,4879,4773,3890,9650,6351,8254,518,3473,1930,4445,300,4256,7645,7440,3042,815,385,11466,1037,3646,5244,1591,14129,7434,10879,122999,45071,55170,6812,3303,6056,116826,61780,63503,31038,4000,27013,77467,63562,181103,199937,67574,3245,12465,11083,11372,19264,422591,9078,1717,994,4332,3041,5342,2336,786,646,1667,414,7310,8190,1235,1448,8942,5160,4019,4645,1609,3419,3284,278,11229,1604,4077,20050,23586,13535,1967,2488,6423,13279,11584,2943,16420,24590,1665,1012,1088,4229,3495,1950,928,2119,360,4439,4611,1794,52587,5610,8287,47036,9502,18705,1859,6572,10532,30247,22930,5783,2060,7044,3797,20772,10869,188,29541,6833,1370,160,3164,5621,1599,1209,4262,2152,10245,12252,27120,819,3794,776,15757,1879,47,795,996,5610,6740,879,89,638,188,37544,331,1113,1998,21433,1463,119373,193850,7152,6347,33885,196850,329401,64547,68920,108564,3522,147031,84653,158944,53833,210235,87025,15887,23886,71941,50111,30218,37148,15485,36045,24106,113595,31222,323383,11861,11966,376,146729,128379,21741,2631,85722,7893,113479,100624,35857,361155,147333,164708,5004,28845,3345,13660,77313,62466,876,722,16935,14223,382,306,604,44,29699,170,9685,359,26101,33940,290,14106,1094,2891,482,396,1105,135,201,2293,1818,222,2813,17437,19900,948,2198,512,673,3512,1381,2510,2743,276,4999,4229,1436,665,4391,1335,21164,5433,6177,8939,6795,285,274,1044,1378,884,1410,219,350,13345,170,4786,863,896,2630,2981,1860,6648,12098,115962,3632,788,17264,476,1518,16853,1055,2927,10897,3650,11339,915,3889,11879,7260,2278,267,355,2747,136,387,83,5524,146,409,3754,2417,4280,140,2389,5184,48280,605,2400,22428,7193,7869,419,657,38454,40818,45037,76790,7181,4754,84525,15505,55307,1874,1094,11434,60378,4217,59233,40410,19732,9939,172,29285,80570,165,195,5513,25113,132641,229,3278,1345,23334,4725,12740,32645,197,3042,1387,56633,24544,31742,66025,129629,103558,82178,33665,13572,19233,31403,4730,8665,10580,16576,9692,3262,1049,18628
